VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Madavoor,695602,21118,9790,11328,5366,120,600,1471.33,100,315.4,1063.37,142,65,116,92,0,0,45,4950,400,157322048.0,4045,1
Pallickal,695604,16873,7823,9050,4261,170,1770,1431.17,3,484.78,839.97,29,9,0,67,0,0,90,3990,250,55625000.0,2854,3
Puthunagaram (CT),678503,17892,8879,9013,3844,730,1680,740.0,8,375.0,365.0,3,31,62,143,18,5,72,446,0,64380000.0,2895,3
Kilimanoor,695601,20515,9435,11080,7043,912,6131,1577.09,4,560.39,934.15,65,35,100,136,424,14,80,4951,986,120620000.0,5428,1
Andoorkonam,695584,9246,4379,4867,2315,618,1478,672.62,4,112.2,462.11,32,7,14,45,2,0,58,1612,178,1100000.0,1485,3
Pallippuram (CT),695316,22512,11573,10939,5053,786,3142,422.31,3,110.12,271.18,64,5,16,105,5,0,94,2218,154,1309080.0,1245,1
Venganoor (CT),695527,35963,17728,18235,9277,1347,3008,1199.5,35,124.8,741.2,109,20,98,84,102,0,264,6100,60,54180000.0,5719,1
Poovar,695525,19628,9582,10046,4543,927,3045,494.73,22,73.0,417.0,15,81,36,212,112,0,200,3950,222,285880000.0,2915,1
Melthonnakkal,695317,14776,6810,7966,3657,756,2861,950.0,8,296.0,562.2,46,27,304,43,113,0,62,2137,40,11067200.0,1127,3
Veiloor (CT),695302,22816,10548,12268,5540,843,4472,798.67,6,247.0,551.0,54,33,374,44,130,0,71,2753,58,16600800.0,1342,1
Uzhamalackal,695541,21472,10322,11150,5850,3210,1200,1456.97,50,226.0,1213.21,125,38,1,366,8,35,51,6340,50,86380000.0,2200,1
Vattappara (CT),695028,26055,12550,13505,6707,428,6040,1014.0,10,295.0,719.0,15,9,13,139,7,3,205,985,55,18100000.0,3915,1
Karakulam (CT),695564,22972,11185,11787,5931,436,5236,923.0,30,285.0,638.0,11,8,17,127,1,7,348,1855,58,8867120.0,2300,1
Tholicode,695551,6579,3109,3470,1746,724,475,675.63,4,16.48,650.35,8,0,6,35,255,0,21,4652,14,55100000.0,1025,3
Vithura,695551,17771,8372,9399,4975,3674,1301,2699.2,7,464.95,2203.45,62,0,12,275,743,0,264,12122,21,153900000.0,2354,0
Melthonnakkal,695584,3374,1672,1702,854,688,166,223.65,4,86.41,135.0,12,0,0,14,0,0,0,796,113,9935500.0,799,3
Keezhthonnakkal,695584,12379,5873,6506,3135,2471,654,802.0,19,354.0,373.0,33,0,0,39,0,0,0,2471,181,12000000.0,2754,3
Andoorkonam,695584,6311,3109,3202,1481,1210,271,399.0,11,129.0,229.0,15,0,0,51,0,0,0,984,162,10362000.0,1320,3
Iroopara (CT),695584,5382,2685,2697,1441,994,231,276.0,28,94.0,167.0,18,0,0,21,0,0,0,1211,155,11000000.0,1088,3
Kottayi-I,678572,12654,6119,6535,2934,860,985,825.0,6,472.0,232.0,141,17,38,66,10,0,8,1400,26,13456247.0,2350,3
Kottayi-II,678572,9383,4491,4892,2227,280,582,769.0,3,431.0,219.0,114,12,29,36,7,0,0,1001,14,8970832.0,1785,3
Muttil South,673122,22899,11060,11839,5190,1307,2802,2011.0,30,201.0,1760.0,12,37,15,98,0,54,425,8702,975,198.0,938,1
Valapattanam (CT),670010,7955,3677,4278,1329,89,1190,80.0,0,3.0,70.0,0,0,0,8,14,0,1,91,74,835000.0,1140,3
Kulanada,689503,4128,1897,2231,1315,692,573,314.31,5,18.5,287.5,8,2,1,4,18,5,3,252,15,803166.0,92,3
Mezhuveli,689625,10407,4826,5581,4232,1310,2532,991.36,5,31.33,836.7,26,8,5,18,101,20,11,2098,360,8834834.0,750,3
Manamboor,695611,23198,10412,12786,6162,1764,3818,1287.61,3,230.84,952.64,60,15,226,135,300,0,300,4360,43,88053820.0,2115,1
Konnithazham,689692,13222,6253,6969,3702,1080,1460,524.82,1,21.84,325.26,12,2,12,5,14,10,51,1980,17,10431300.0,1612,3
Konni,689691,13568,6228,7340,3662,1410,2252,1224.31,0,45.54,784.55,13,13,23,22,18,18,51,7405,36,12101200.0,2310,3
Iravan,689692,3509,1615,1894,966,240,726,324.72,0,25.42,299.3,12,1,10,4,3,4,24,980,14,8289300.0,774,3
Mookkannoor,683577,19628,9703,9925,4918,435,1215,1822.47,14,1081.47,741.0,7,2,7,13,75,0,15,2100,24,23080000.0,1629,3
Thuravoor,683572,21468,10701,10767,5497,406,1385,914.0,14,667.0,247.0,13,2,26,58,108,9,115,2370,0,16302006.0,956,3
Malayalapuzha (Part),689666,16145,7566,8579,4556,1039,3467,1392.0,3,42.9,1327.75,9,24,2,32,41,3,74,1918,45,28610350.0,3692,1
Konnithazham,689692,888,416,472,250,65,175,247.9,1,12.0,186.98,1,10,12,5,9,1,4,89,11,4000000.0,190,3
Omalloor,689647,17611,8189,9422,6647,2016,2127,1272.03,9,54.97,1148.544,19,17,49,44,63,1,38,2856,39,15627745.0,2527,1
Parakkadavu,683578,30752,15035,15717,9798,1901,3457,1798.0,56,1210.0,217.0,28,12,82,135,113,0,31,4237,2351,23801478.0,4901,1
Chirayinkeezhu,695304,12867,5999,6868,3052,164,2888,401.4,0,101.3,298.3,33,6,89,34,76,1,34,1093,114,40800000.0,2075,3
Aryanad,695942,26361,12491,13870,7086,2213,4873,2167.99,0,227.0,1935.11,82,0,12,328,16,38,906,4650,130,192389000.0,3635,1
Poopara,685619,8528,4241,4287,2472,94,2143,3931.0,40,2379.6,1527.4,33,0,0,88,8,0,4,1751,19,8934891.0,737,0
Santhanpara,685619,7104,3544,3560,2389,217,1921,2860.0,31,1532.0,1309.0,16,0,0,75,5,0,0,1436,17,8247593.0,708,0
Karavaram,695605,15898,7275,8623,4052,1969,2083,1118.65,4,313.5,735.4,44,42,10,58,21,0,124,3720,0,145689000.0,3340,1
Alamcode (CT),695102,14762,6768,7994,3750,1948,1802,745.76,2,209.02,490.17,39,62,21,44,12,0,12,2443,0,48563100.0,2949,3
Vallicode,689648,20287,9242,11045,5703,1169,1182,1564.27,10,151.79,1253.14,27,11,62,58,103,0,93,4500,40,25000000.0,1774,1
Muttil North,673122,12382,6090,6292,2808,621,1518,1565.0,26,236.0,1329.0,18,20,39,60,9,36,278,4705,825,2500000.0,506,3
Chengamanad (CT),683578,27978,13699,14279,6879,2079,4800,1077.0,11,402.0,240.0,0,1,0,58,16,2125,45,5202,25,12050467.0,4625,4
Thrikkaipatta (Part),673577,7705,3838,3867,1880,474,1014,1291.0,66,105.0,1152.0,6,8,19,53,123,0,0,1500,29,63.0,459,3
Kottappadi (Part),673577,22532,10819,11713,5070,822,2736,2681.0,31,69.0,2595.0,82,22,33,184,420,0,0,544,24,223.0,492,0
Vellarimala,673577,7548,3692,3856,1711,189,1026,2153.0,24,17.0,2081.0,5,8,19,51,114,0,0,1500,31,63.0,252,3
Moolathara,678533,9764,4832,4932,2604,832,598,1994.0,416,1638.0,280.0,109,0,26,28,11,0,18,1607,14,11133849.0,1842,0
Perumatty,678534,8150,3976,4174,1967,709,318,1489.0,131,841.0,304.0,76,0,23,32,0,0,16,1529,12,13360618.0,1369,3
Vandithavalam,678534,12531,6302,6229,2925,878,469,1030.0,71,756.0,241.0,69,0,30,23,5,0,16,1464,16,15587388.0,2197,3
Eruthempathy,678555,9469,4701,4768,2542,1265,686,1892.0,300,310.0,1200.0,32,0,160,196,39,0,1,1050,8,16978104.0,1100,0
Kozhipathy,678555,8689,4299,4390,2369,1800,497,1292.0,250,400.0,609.0,20,0,92,100,35,0,0,999,4,113187632.0,1200,3
Kozhinjampara,678555,12311,6042,6269,2919,1343,904,879.07,187,627.5,101.897,276,0,155,47,159,0,3,660,28,15538818.0,1617,3
Padinharethara,673575,16146,7796,8350,3645,1307,1752,2039.0,27,264.0,1661.0,95,18,0,137,132,0,3,7003,487,371.0,1520,0
Kuppadithara,670645,9819,4796,5023,2143,1214,900,1302.0,21,378.0,857.0,110,10,14,83,192,0,0,4037,307,222.0,260,3
Malapattam,670631,9628,4497,5131,2250,843,890,1725.0,25,69.0,1480.0,0,4,0,8,17,8,50,1998,15,40714500.0,648,3
Kozhipathy,678101,3576,1772,1804,949,402,160,1054.8,187,753.0,122.2,72,0,38,12,39,0,1,790,35,4273174.0,357,3
Azhoor (CT),695305,27390,12386,15004,6573,3312,3261,1042.7,7,45.0,964.0,52,86,339,179,446,0,95,8010,142,119462000.0,3940,1
Kuttiattoor (CT),670602,13244,6272,6972,3017,610,1560,1425.0,13,48.0,1313.0,0,6,1,4,2,0,0,2190,95,16041230.0,1155,3
Naranganam,689642,16452,7746,8706,6103,2198,1372,1816.95,5,127.1,1629.48,20,15,152,40,175,6,68,2300,200,15445000.0,2618,1
Kidanganad,673592,4871,2385,2486,1142,862,280,610.0,19,174.0,399.0,57,3,4,7,5,42,41,1010,262,12256000.0,902,3
Kuppadi,673592,8829,4328,4501,2069,1570,499,766.0,31,90.0,651.0,78,6,6,5,5,44,35,1003,342,20515000.0,1103,3
Noolpuzha,673592,14133,6965,7168,3299,1815,1484,2004.0,68,823.0,1071.0,204,9,11,14,15,62,28,4010,1236,36634000.0,1761,0
Kadinamkulam,695303,28868,13673,15195,6286,3300,2986,912.0,2,214.0,168.0,165,42,103,197,581,13,0,3300,48,16600000.0,1886,1
Menamkulam,628509,17608,8371,9237,4259,2200,2059,619.89,2,214.0,168.0,110,28,68,131,387,21,0,2200,80,9800000.0,1250,1
Vellanad,695543,28667,13923,14744,7575,3756,2450,1902.47,2,403.0,1460.7,646,12,13,337,34,5,990,4697,36,54180000.0,3990,1
Sarkara,695304,17040,7945,9095,4458,117,4341,396.73,0,114.01,234.01,56,3,111,49,63,0,41,1514,126,100181000.0,3076,1
Vellalloor,695601,12786,5870,6916,4281,926,3355,989.98,5,238.45,618.2,28,37,23,43,0,2,38,5049,29,180000000.0,3269,1
Nagaroor,695601,13726,6316,7410,4321,858,3463,943.02,3,268.52,564.06,25,30,21,30,0,3,38,2700,21,170000000.0,3329,1
Ottoor,695611,16085,7234,8851,3707,1358,2235,801.66,5,130.9,616.5,65,1,0,68,45,0,378,3943,20,46490000.0,2072,3
Elanthoor,689642,15344,7135,8209,5677,1730,2113,1235.07,8,63.434,1099.998,40,7,140,7,49,3,54,2710,35,13640333.0,824,3
Maniyoor (CT),670592,12681,5902,6779,2594,610,1560,1425.0,13,47.0,1312.0,0,6,1,4,1,0,0,1907,95,16041230.0,1156,3
Ambalavayal,673593,17223,8412,8811,4176,1285,2018,2374.0,11,287.0,2011.0,24,15,35,60,0,300,195,4870,22,22747870.0,1231,0
Thomattuchal,673581,17984,8802,9182,4392,2003,1895,3193.0,9,264.0,2910.0,29,15,40,62,0,353,163,4861,9,22747880.0,1274,0
Valiyavallampathy,678554,12864,6342,6522,3196,1442,775,1582.3,275,1129.9,182.9,332,0,185,56,186,0,2,1180,47,19035052.0,1720,0
Edava,695311,25994,11486,14508,5940,1708,3878,613.96,1,237.0,308.99,11,0,0,108,160,0,148,5200,23,83982440.0,2158,1
Chemmaruthy,695145,32444,14751,17693,8238,2435,5803,1419.03,17,40.5,1210.69,165,0,160,110,632,12,78,6670,320,57587000.0,5580,1
Vettoor,695312,18704,8371,10333,4097,950,3147,503.5,1,62.0,400.55,140,1,40,18,40,8,74,5000,43,60400000.0,2720,1
Vakkom (CT),695308,16533,7058,9475,4280,1669,2611,453.61,5,2.05,423.11,157,5,96,25,108,550,192,1879,200,49800000.0,4230,1
Aruvikkara,695564,33909,16427,17482,8871,1671,6025,1726.0,8,412.0,1313.0,36,28,21,172,9,8,211,4545,61,39525000.0,8580,1
Karakulam (CT),695564,3667,1778,1889,895,160,735,923.0,1,16.0,129.0,3,3,5,19,5,4,24,160,2,3858000.0,876,3
Theakada,695615,13567,6459,7108,3417,994,2196,1050.0,3,212.0,838.0,8,13,1,154,7,8,72,1588,3,16504585.0,288,3
Vembayam,695615,20716,9905,10811,5328,1794,2689,1298.0,8,132.0,1166.0,8,15,1,206,10,12,63,2868,12,18506956.0,252,1
Vattappara (CT),695028,4347,2103,2244,1138,321,729,208.0,3,24.0,184.0,2,6,0,45,2,5,35,452,3,5801555.0,225,3
Kadakkavoor,695306,7970,3596,4374,2365,885,1370,442.02,1,145.4,252.82,49,1,68,24,99,1,20,1250,2,90000000.0,1760,3
Keezhattingal (CT),695101,15185,6819,8366,3989,1125,2861,390.11,4,158.45,183.98,82,2,35,73,8,0,17,2648,7,90000000.0,2798,3
Kanjiramkulam (CT),695524,19902,9795,10107,5197,1239,2918,768.63,4,12.0,750.38,156,323,65,117,266,0,28,3200,35,56909000.0,4710,1
Perumkadavila,695124,23580,11495,12085,6311,1260,4100,1502.45,0,131.0,1362.43,0,0,0,209,0,28,35,12250,52,58578000.0,2420,1
Navaikulam,695603,29542,13579,15963,7454,3032,1847,1243.0,2,358.46,877.62,168,2,0,43,0,0,55,3868,189,38031250.0,1138,1
Kudavoor,628458,11160,5079,6081,2768,968,1700,1170.2,1,308.36,779.25,68,87,0,107,0,0,49,1632,113,9343750.0,698,3
Vazhichal,695125,6671,3232,3439,1831,462,1143,678.75,1,8.55,663.27,5,0,0,54,6,36,12,1657,0,32345884.0,926,3
Amboori,695505,9249,4464,4785,2407,951,1184,1018.12,2,13.7,994.03,2,0,0,92,3,61,0,2065,0,42877100.0,1252,3
Anad,695544,31687,15143,16544,8339,3200,5139,2103.26,5,215.17,1835.15,38,29,77,238,43,0,710,4800,700,254737008.0,1240,1
Kollayil (Part),695503,25077,12221,12856,6610,1550,4050,1188.97,0,175.2,1004.23,0,0,28,298,0,0,60,5100,10,70315000.0,2410,1
Kulathummal (CT),695572,40448,19838,20610,10952,3200,6219,1874.97,2,149.0,1683.86,1093,0,258,342,1093,0,160,2500,100,182720000.0,6125,2
Kottukal (Part),695501,46915,23202,23713,11725,2799,8458,1111.58,6,55.5,1043.31,120,77,46,297,298,0,25,3006,50,37646000.0,10576,1
Panavoor,695568,20348,9597,10751,5253,1410,3160,1902.97,12,60.0,1841.0,80,13,5,298,39,6,868,3600,140,55217250.0,921,1
Parassala (CT),695502,34096,16761,17335,8344,1752,6592,1052.0,9,314.0,736.0,45,3,133,174,0,30,3125,3572,43,273015000.0,3270,1
Parasuvaikkal (CT),695508,17698,8676,9022,4436,621,3581,710.94,4,23.24,678.47,42,1,94,12,0,27,2750,1970,23,170580000.0,1388,1
Koliyakode,695607,21277,10059,11218,5539,1417,2425,1700.0,2,278.2,1105.23,81,0,68,165,4,2,91,2900,90,15200000.0,5007,1
Manikkal,695607,16629,7904,8725,4287,1032,1735,1634.0,3,259.0,1375.0,91,0,40,104,2,1,73,1986,60,13297550.0,3742,3
Nellanad,695607,25981,12190,13791,6585,2292,2510,1846.0,3,291.0,1169.91,110,0,340,32,0,6,94,5918,500,22876194.0,5003,1
Cheeral,673595,15864,7709,8155,3844,1911,1619,2396.0,5,487.0,1867.0,172,0,0,60,50,0,19,6747,591,14915200.0,1900,0
Nenmeni,673592,31086,15220,15866,7486,2241,3599,3847.0,7,623.0,3092.0,168,0,0,59,40,0,36,2100,206,29830330.0,2600,1
Anavoor,695124,12438,6122,6316,3325,567,2372,1214.21,0,12.0,808.02,35,0,10,0,0,0,0,4200,68,102453800.0,1050,3
Kunnathukal,695504,30409,14808,15601,7678,1273,4970,1214.21,2,16.04,1192.04,125,0,21,0,0,0,0,5397,138,230521100.0,2436,1
Aikaranad South,682311,21053,10396,10657,5375,798,1592,1594.83,50,395.87,1042.39,0,3,1,29,110,12,5,3500,300,23400000.0,1863,1
Chenkal (Part),695122,36891,18047,18844,9549,5412,4137,1487.95,12,350.0,1127.37,12,0,41,17,72,27,38,5412,480,94300000.0,6528,1
Cherukottur,670721,11462,5724,5738,2540,1028,1316,1643.0,35,271.0,1372.0,41,15,19,47,0,0,26,4412,0,10686168.0,51,3
Panamaram,670721,12683,6219,6464,2916,1299,1219,1909.0,15,384.0,1405.0,58,18,23,67,0,0,13,4842,0,19599036.0,933,3
Anchukunnu,670645,19078,9516,9562,4305,1808,2052,2788.0,17,390.0,2202.0,41,18,23,88,0,0,42,7296,0,27460344.0,2588,0
Nadavayal,670721,2404,1209,1195,573,336,197,491.0,2,70.0,401.0,9,4,4,10,0,0,10,1008,0,4701660.0,199,3
Periya,670644,11174,5574,5600,2571,1986,474,3183.0,87,324.0,2760.0,149,19,14,48,12,8,85,4689,156,27365104.0,641,0
Cherunniyoor,695142,18114,8038,10076,4597,1200,3397,822.81,1,323.0,445.29,67,4,162,94,54,45,138,3100,13,38956000.0,2887,1
Thavinhal,670644,17840,8761,9079,4209,2913,1048,3264.0,87,337.0,2808.0,184,23,23,80,84,1,61,4689,156,31640900.0,747,0
Valat,670644,10799,5350,5449,2477,1858,563,2408.0,174,326.0,1988.0,137,14,14,48,14,4,78,4418,647,26509944.0,593,0
Keezhanthoor,685620,6758,3339,3419,1778,1188,590,1834.0,9,760.0,874.0,213,0,213,83,0,28,29,1218,118,22200000.0,1207,3
Kanthalloor,685620,4205,2082,2123,1145,862,283,2384.0,13,905.0,1020.0,254,0,254,97,0,22,23,1342,212,21700000.0,917,3
Edamalakkudy,685612,2236,1196,1040,768,768,0,553.0,0,0.0,553.0,446,0,0,110,204,62,0,1922,100,22802000.0,0,3
Kanchiyar,685511,22513,11125,11388,5642,4486,883,5633.0,76,2292.0,2853.0,12,5,4,239,0,0,17,4583,66,108240000.0,2153,0
Anaviratty,685561,5050,2555,2495,1257,870,227,2482.0,0,140.0,1842.0,0,2,1,31,35,0,9,1395,226,9000000.0,9,3
Pallivasal,685565,10875,5417,5458,2726,2120,316,3812.0,0,160.0,3022.0,0,4,1,67,74,0,17,2976,483,19200000.0,19,0
Kunjithanny,685565,1010,514,496,254,165,44,119.0,0,20.0,84.0,0,1,0,6,7,0,4,279,45,1800000.0,2,3
Maranalloor,695507,36550,17816,18734,9679,1658,7471,1936.47,10,212.45,1683.16,10,9,95,244,16,0,35,8855,65,56602600.0,5076,1
Purakkadi,673591,20498,10135,10363,4970,1670,2265,2787.0,36,291.0,2421.0,85,2,896,42,84,0,65,7795,205,52500000.0,655,0
Krishnagiri,673591,12952,6489,6463,3229,980,1415,2095.0,26,132.0,1913.0,46,1,497,29,62,0,26,613,145,35000000.0,385,3
Malayinkeezhu (CT),695571,37350,18250,19100,9684,2564,5668,1344.04,8,105.15,1223.32,452,0,32,121,19,0,20,4212,172,80621000.0,5423,1
Kuthannur-I,678721,17471,8450,9021,4057,1021,1109,2800.0,32,1217.0,1243.0,40,11,69,159,10,0,20,1469,61,184626100.0,2851,0
Kuthannur-II,678722,6620,3227,3393,1531,389,417,1134.0,3,493.0,504.0,21,4,28,59,5,0,10,847,37,5503900.0,1091,3
Amballur (CT),680301,29341,14308,15033,7353,1368,5766,1276.28,6,532.49,690.82,0,0,20,19,0,0,106,4896,12,2020254.0,100,1
Vadakkancheri-I,678683,20973,10189,10784,4876,2247,2324,1317.0,14,552.0,765.0,12,12,69,43,58,18,21,1384,730,46300000.0,1982,1
Vadakkancheri-II,678682,14918,7160,7758,3502,1563,1889,1534.0,8,443.0,703.0,8,9,85,57,22,35,20,1963,446,30043000.0,2041,3
Ayiroor,695310,25307,11413,13894,6657,1888,4466,1184.54,3,271.5,753.35,18,14,0,18,45,16,20,6050,168,54199000.0,3805,1
Vilappil (CT),695573,36212,17595,18617,9515,2552,5738,1696.01,2,92.53,1572.84,680,0,59,178,8,0,52,3815,40,201415000.0,5234,1
Kanjikuzhi,685606,26809,13509,13300,6838,4418,2273,1955.0,1,550.0,158.0,86,6,17,316,90,896,167,8889,386,232091800.0,2132,1
Anjuthengu,695309,23614,11098,12516,6827,423,6404,214.08,1,2.2,188.0,543,112,1200,76,412,0,18,1525,50,52800000.0,3472,2
Ezhupunna (CT),688537,27528,13478,14050,6686,257,6144,1046.5,9,220.0,371.32,52,0,17,121,0,2,2,1658,172,63470000.0,5011,1
Eruvassy,670632,19216,9519,9697,4694,3300,1080,4351.0,30,62.0,4228.0,3,0,0,37,15,0,152,3300,37,48975000.0,215,0
Vadavannur,678504,17126,8477,8649,3927,1810,1260,1311.0,27,881.0,360.0,251,0,15,105,0,14,60,1160,150,44413300.0,3460,3
Thenkurissi-I,678671,14429,7048,7381,3424,405,782,1483.0,3,854.0,377.0,163,14,58,99,2,0,15,1052,0,12780161.0,2848,3
Thenkurissi-II,678502,13010,6227,6783,2955,519,882,989.0,2,571.0,254.0,178,11,72,79,1,0,12,1061,0,11225700.0,2437,3
Tholicode,695541,31784,14925,16859,8156,1215,6941,2818.96,5,106.0,2688.87,83,28,16,14,94,33,1455,3615,1,121950000.0,453,1
Balaramapuram,695501,36134,17733,18401,8967,2540,5171,831.15,10,160.44,660.48,496,0,0,242,24,0,86,4303,240,149725300.0,5343,1
Kozhenchery (CT),628342,12021,5594,6427,4608,2100,1047,720.0,3,75.0,632.0,0,8,29,7,18,2,15,1500,250,8546250.0,2053,3
Pallichal (CT),695020,53861,26490,27371,13762,2500,7832,1408.37,5,161.15,1235.59,741,64,96,450,12,0,45,5730,200,195746000.0,8328,1
Nadavayal,627309,4593,2218,2375,1025,598,358,438.0,13,72.0,343.0,20,5,6,33,2,0,49,2279,106,2400000.0,344,3
Kaniambetta,627327,29363,14521,14842,6647,1898,3510,2943.0,41,762.0,2084.0,46,33,38,265,0,0,105,1932,621,31200000.0,2098,1
Kombanad,683546,10976,5501,5475,2810,649,958,1937.0,9,122.0,1789.0,0,19,2,43,19,0,0,1998,6,10351936.0,2672,3
Vengoor,683546,10961,5332,5629,2797,641,948,1291.0,0,82.0,1193.0,0,10,1,58,16,0,0,1972,4,9180018.0,2667,3
Vayakkara,670631,11450,5492,5958,2794,621,1984,1950.0,1,121.0,1829.0,0,9,0,19,0,12,3,2646,20,27750400.0,511,3
Pulingome,670511,10672,5237,5435,2631,603,1917,2547.0,1,197.0,2350.0,0,24,0,36,0,29,6,3461,20,48275840.0,679,3
Thirumeni,670511,8611,4275,4336,2077,386,1691,2340.0,1,152.0,2082.0,0,17,0,24,0,17,4,3174,20,42725760.0,615,3
Kallur Vadakkummuri (CT),680309,25128,12101,13027,6378,518,5123,1237.46,10,637.0,432.63,1,3,5,39,48,0,200,4006,36,11313000.0,1215,1
Aruvappulam,689691,13801,6463,7338,4685,1550,2335,675.84,2,21.21116,429.191254,5,4,28,146,25,2,14,2130,58,15800000.0,1238,3
Iravan,689691,5735,2643,3092,2450,1025,1425,336.0,1,12.0,320.48,3,4,35,79,20,2,9,1685,22,22600000.0,745,3
Alathur (CT),678541,26720,12808,13912,6096,1695,4026,1365.0,40,696.0,669.0,50,0,0,132,0,12,1325,1800,450,51679000.0,6080,1
Kavasseri-I,678543,17333,8448,8885,3901,1497,1850,1185.0,5,555.0,630.0,60,0,119,86,9,0,34,1009,206,44200000.0,3010,3
